state,x,y
Andhra Pradesh,-73,-210
Arunachal Pradesh,290,174
Assam,254,115
Bihar,94,82
Chhattisgarh,-4,-38
Goa,-218,-200
Gujarat,-278,4
Haryana,-141,178
Himachal Pradesh,-126,259
Jammu and Kashmir,-173,309
Jharkhand,72,22
Karnataka,-168,-226
Kerala,-158,-335
Madhya Pradesh,-99,1
Maharashtra,-197,-101
Manipur,285,72
Meghalaya,213,87
Mizoram,260,31
Nagaland,300,109
Odisha,62,-56
Punjab,-169,229
Rajasthan,-219,118
Sikkim,151,137
Tamil Nadu,-91,-314
Telangana,-82,-131
Tripura,237,42
Uttar Pradesh,-20,111
Uttarakhand,-71,211
West Bengal,148,17
